id,class,color,name,longitude,latitude
fr65,councildata,#4b4c7a,CALLE LOPEZ DE HOYOS 472,-3.650231100000000,40.471153200000003
fr66,councildata,#4b4c7a,PASEO FEDERICO GARCIA LORCA 15,-3.620847100000000,40.378080300000008
fr67,councildata,#4b4c7a,CALLE ZUMEL 8,-3.626221400000000,40.428830900000001
fr68,councildata,#4b4c7a,CALLE POBLADURA DEL VALLE 15,-3.617308200000000,40.427477000000003
fr69,councildata,#4b4c7a,AVENIDA LOGROÑO 148,-3.581949200000000,40.473890399999988
fr70,councildata,#4b4c7a,CALLE AZCONA 24,-3.670602900000000,40.433512999999998
fr71,councildata,#4b4c7a,AVENIDA ESPINELA 12,-3.709469900000000,40.345172499999997
fr72,councildata,#4b4c7a,CALLE MAYOLICA 8,-3.616823300000000,40.426933499999997
fr73,councildata,#4b4c7a,CALLE DOCTOR ESQUERDO 130,-3.670404400000000,40.407140900000002
fr74,councildata,#4b4c7a,CALLE ABTAO 10,-3.676030600000000,40.403801500000000
fr75,councildata,#4b4c7a,CALLE MONTES ALBERES 2,-3.619153300000000,40.373857100000002
fr76,councildata,#4b4c7a,CALLE ARAPILES 4,-3.705173500000000,40.433482400000003
fr77,councildata,#4b4c7a,CALLE PUERTO DE PORZUNA 3,-3.620790700000000,40.375828899999988
fr78,councildata,#4b4c7a,PLAZA LAVAPIES 8,-3.701259800000000,40.408684000000001
fr79,councildata,#4b4c7a,PASEO CASTELLANA 91,-3.691598800000000,40.450529199999998
fr80,councildata,#4b4c7a,CALLE BRAVO MURILLO 95,-3.704208300000000,40.446115200000001
fr81,councildata,#4b4c7a,CALLE PRINCESA 31,-3.714754300000000,40.428052100000002
fr82,councildata,#4b4c7a,AVENIDA ALBUFERA 99,-3.660957400000000,40.394196699999988
fr83,councildata,#4b4c7a,CALLE BRAVO MURILLO 303,-3.697791799999999,40.462171900000008
fr84,councildata,#4b4c7a,AVENIDA REINA VICTORIA 6,-3.704842599999999,40.447207599999999
fr85,councildata,#4b4c7a,PLAZA LEGAZPI 3,-3.694328900000000,40.391132599999999
fr86,councildata,#4b4c7a,CALLE TEMBLEQUE 144,-3.765561600000000,40.391503100000001
fr87,councildata,#4b4c7a,CALLE CAMARENA 119,-3.755404300000000,40.390666000000003
fr88,councildata,#4b4c7a,CALLE FRAGATA 24,-3.735694000000000,40.394059599999999
fr89,councildata,#4b4c7a,CALLE VALDECALERAS 1,-3.646848400000000,40.463560200000003
fr90,councildata,#4b4c7a,CALLE ALCALA 160,-3.666974800000000,40.428733700000002
fr91,councildata,#4b4c7a,CALLE LAGO CONSTANZA 50,-3.646423300000000,40.430559799999997
fr92,councildata,#4b4c7a,CALLE BENITO PRIETO 12,-3.722586200000000,40.386667299999999
fr93,councildata,#4b4c7a,PASEO CASTELLANA 93,-3.691622200000000,40.450794299999998
fr94,councildata,#4b4c7a,CALLE ALCALA 307,-3.652521500000000,40.432673200000004
fr95,councildata,#4b4c7a,CALLE VIA CARPETANA 340,-3.743390000000000,40.390947699999998
fr96,councildata,#4b4c7a,PLAZA CONDE DEL VALLE DE SUCHIL 1,-3.707633600000000,40.430248100000000
fr97,councildata,#4b4c7a,CALLE GUZMAN EL BUENO 13,-3.713743199999999,40.431482899999999
fr98,councildata,#4b4c7a,AVENIDA AMERICA 24,-3.673997300000000,40.438717500000003
fr99,councildata,#4b4c7a,CALLE PRINCIPE DE VERGARA 269,-3.677177900000000,40.457506199999997
fr100,councildata,#4b4c7a,GLORIETA EMBAJADORES 4,-3.701910500000000,40.404743099999997
fr101,councildata,#4b4c7a,CALLE JOSE DE CADALSO 74,-3.769261500000000,40.378266199999999
fr102,councildata,#4b4c7a,CALLE DOLORES BARRANCO 33,-3.706012100000000,40.383178899999997
fr103,councildata,#4b4c7a,CALLE MARCELO USERA 121,-3.709332399999999,40.385270499999997
fr104,councildata,#4b4c7a,CALLE FERROCARRIL 38,-3.697788000000000,40.401204399999997
fr105,councildata,#4b4c7a,AVENIDA INSTITUCION LIBRE DE ENSEÑANZA 17,-3.696772500000000,40.434828899999999
fr106,councildata,#4b4c7a,CALLE REYES 7,-3.708919300000000,40.424236200000003
fr107,councildata,#4b4c7a,CALLE MARCELO USERA 2,-3.699984600000000,40.388179700000002
fr108,councildata,#4b4c7a,CALLE ARENAL 22,-3.707478900000000,40.417730499999998
fr109,councildata,#4b4c7a,CALLE BRAVO MURILLO 333,-3.695866800000000,40.464340999999997
fr110,councildata,#4b4c7a,AVENIDA MONFORTE DE LEMOS 131,-3.711491700000000,40.477642799999998
fr111,councildata,#4b4c7a,CALLE BRAVO MURILLO 141,-3.703664599999999,40.450500400000003
fr112,councildata,#4b4c7a,CALLE SESEÑA 50,-3.703790200000000,40.416775399999999
fr113,councildata,#4b4c7a,CALLE NARVAEZ 25,-3.675764199999999,40.421959399999999
fr114,councildata,#4b4c7a,CALLE FERROVIARIOS 42,-3.705071100000000,40.385014200000001
fr115,councildata,#4b4c7a,CALLE RAFAEL SALGADO 3,-3.688769300000000,40.454448800000002
fr116,councildata,#4b4c7a,AVENIDA INSTITUCION LIBRE DE ENSEÑANZA 1,-3.696772500000000,40.434828899999999
fr117,councildata,#4b4c7a,CALLE MAYOR 1,-3.704673200000000,40.416463000000000
fr118,councildata,#4b4c7a,CALLE ILLESCAS 18,-3.764952199999999,40.396068100000001
fr119,councildata,#4b4c7a,CALLE MONTERA 41,-3.702223000000000,40.419230399999996
fr120,councildata,#4b4c7a,CALLE GENERAL MARGALLO 4,-3.697568700000000,40.460929100000001
fr121,councildata,#4b4c7a,CALLE ETRURIA 3,-3.612131800000000,40.435874200000001
fr122,councildata,#4b4c7a,CALLE EZEQUIEL SOLANA 73,-3.643037100000000,40.428455900000003
fr123,councildata,#4b4c7a,CALLE CARRETAS 13,-3.702973100000000,40.416039900000001
fr124,councildata,#4b4c7a,CALLE O'DONNELL 21,-3.677901000000000,40.421794100000007
fr125,councildata,#4b4c7a,CALLE PALOMERAS 51,-3.664930399999999,40.389192999999999
fr126,councildata,#4b4c7a,CALLE ALCALA 399,-3.640998799999999,40.436732200000002
fr127,councildata,#4b4c7a,GLORIETA BILBAO 4,-3.701988399999999,40.429414500000000
