"id","name","latitude","longitude","class","color"
"dataira1045","Plaza FONT, LA, 5, Almenara: LA COPE","39.7531051","-0.224228","codere","#d2f6fc"
"dataira1046","GENERAL CONCHA, 40, Bilbao: LA CUCHARITA","43.2567256","-2.936176","codere","#d2f6fc"
"dataira1047","Calle MASIA DEL JUEZ, 79, Torrent: LA CURRA","39.4395222","-0.520541","codere","#d2f6fc"
"dataira1048","Calle QUART, 29, Montcada: LA DESPENSA","41.4904225","2.1941598","codere","#d2f6fc"
"dataira1049","EPIFANIO CAMPO NUÑEZ, 17, Laracha: LA DOLCE","43.247461","-8.588244999999999","codere","#d2f6fc"
"dataira105","Calle ESTEBAN MANUEL VILLEGAS, 17, Logroño: Amsterdam","42.4662853","-2.4364952","codere","#d2f6fc"
"dataira1050","Calle ANTONIO LARREA, 17, Haro: La Dolce Vita","42.5691542","-2.8505947","codere","#d2f6fc"
"dataira1051","CALLE GREGORIO FERNANDEZ, 15, Sarria: LA EMBAJADA","42.7807843","-7.4117453","codere","#d2f6fc"
"dataira1052","Calle JUAN SEBASTIAN ELCANO, 19, Trapagaran: La Esquina","43.3035878","-3.0340643","codere","#d2f6fc"
"dataira1053","Ferrocarril Central De Aragon, 2, Segorbe: LA ESTACION","39.847105","-0.482445","codere","#d2f6fc"
"dataira1054","ALVEDRO, 41, Culleredo: LA EXPLANADA","43.2960432","-8.3708431","codere","#d2f6fc"
"dataira1055","Leire, 3, Donostia: La Fabrica De Gas","43.30886","-1.98445","codere","#d2f6fc"
"dataira1056","CRISTOBAL COLON, 54, Naron: LA FACTORIA","43.5004285","-8.2039229","codere","#d2f6fc"
"dataira1057","RINCON DE ADEMUZ, 3, Valencia: LA GALERIA","39.4731052","-0.4030731","codere","#d2f6fc"
"dataira1058","Calle PIQUERAS, 9, Logroño: La Gondola","42.457023","-2.4322436","codere","#d2f6fc"
"dataira1059","PATRICIO FERRANDIZ, 69, Dénia: LA HAVANNA","38.8397985","0.1105163","codere","#d2f6fc"
"dataira106","Calle RAMON Y CAJAL, 32, Torrent: ANAR I TORNAR","39.4376671","-0.4676916","codere","#d2f6fc"
"dataira1060","DOMINGO ETCHEVERRIA NAVEIRA, 3, Betanzos: LA INTERNACIONAL","43.2801135","-8.2100843","codere","#d2f6fc"
"dataira1061","Camarena Paralela, 1: La Lloma - Godella","39.5248854","-0.4277169","codere","#d2f6fc"
"dataira1062","CAMIÑO REAL, 35, Lugo: LA MAQUINA","43.0154784","-7.561501600000001","codere","#d2f6fc"
"dataira1063","Calle VENTURA RODRIGUEZ, 40, Pamplona: LA MATTINA","42.8273914","-1.6646432","codere","#d2f6fc"
"dataira1064","Calle INMACULADA s/n, Estella: LA MODERNA","42.6720856","-2.0324524","codere","#d2f6fc"
"dataira1065","Calle ECUADOR, 34, Valencia: LA MUFLA II","39.4932902","-0.3879576","codere","#d2f6fc"
"dataira1066","Benito Galceran, 10, Viveiro: La Nueva Fontana","43.6657054","-7.5923924","codere","#d2f6fc"
"dataira1067","Carretera NA-134, KM 965, CC LAS CAÑAS s/n - Viana: LA NUEZ","42.47774099999999","-2.3976728","codere","#d2f6fc"
"dataira1068","Rúa do Camiño Real 117, Lugo: LA NUEZ","43.0180856","-7.564715199999999","codere","#d2f6fc"
"dataira1069","Anxo Senra Fernández 9, O Burgo: LA OFICINA","43.3183334","-8.3672342","codere","#d2f6fc"
"dataira107","Praza Do Concello, 5 5 Esq. Calle Xuncal, 1, OROSO: Anbore","42.9686221","-8.4421705","codere","#d2f6fc"
"dataira1070","El Casal Auzoa, 11 - Abanto-Ciervana, Gallarta: La Parra","43.3215507","-3.0747412","codere","#d2f6fc"
"dataira1071","PARQUE DO MALECON, 15, O Barco: LA PASARELA","42.4153038","-6.9865889","codere","#d2f6fc"
"dataira1072","SAN JOSE DE CALASANZ, 28, Logroño: LA PECERA","42.465239","-2.4283881","codere","#d2f6fc"
"dataira1073","CALLE EMILIO GONZALEZ LOPEZ, 59, Coruña: LA PENULTIMA","43.3732178","-8.4332538","codere","#d2f6fc"
"dataira1074","DOMINGO BELTRAN, 41, Astrabudua: La Perla","43.316075","-2.9813058","codere","#d2f6fc"
"dataira1075","HELLIN, 22, Valencia: LA PIEDRA","38.5068902","-1.6979398","codere","#d2f6fc"
"dataira1076","RÚA MEDIO, 22, Camariñas: LA PIÑA","43.12989779999999","-9.183571599999999","codere","#d2f6fc"
"dataira1077","Carretera de Torralba, s/n, Montán: LA PISCINA","40.0353879","-0.5550358","codere","#d2f6fc"
"dataira1078","MAESTRO JUAN MAGAL BENZO, 41, Paterna: LA PLAZA","39.4961991","-0.4352219","codere","#d2f6fc"
"dataira1079","Calle GENERAL CASTAÑOS, 21, Portugalete: La Posadilla","38.1883233","-5.2782395","codere","#d2f6fc"
"dataira108","EMILIO GONZALEZ LOPEZ, 4, Coruña: ANCAR","43.3751957","-8.4317964","codere","#d2f6fc"
"dataira1080","Calle PLATERO SUAREZ, 16, Valencia: LA RAMA DORADA","39.48574","-0.37263","codere","#d2f6fc"
"dataira1081","Plaza OLOF PALME, 1, Valencia: LA RAMBLA","39.4729307","-0.3493023","codere","#d2f6fc"
"dataira1082","MARINERS (RESIDENCIAL AGUAVIVA), 8: LA RETAMA","38.528693","-0.170475","codere","#d2f6fc"
"dataira1083","Calle SAGUNTO, 111, Valencia: LA RIOJA I","39.4872525","-0.3753872","codere","#d2f6fc"
"dataira1084","Avenida EMILIO BARO, 81, Valencia: LA RIOJA III","39.4918676","-0.3589747","codere","#d2f6fc"
"dataira1085","AVENIDA DE MARIN, 41: LA ROTONDA","42.349663","-7.871811","codere","#d2f6fc"
"dataira1086","Azorin, 12, Quart de Poblet: La Rubia","39.4819353","-0.4433686","codere","#d2f6fc"
"dataira1087","Plaza AYUNTAMIENTO, DEL, 9, Montroy: LA RULLA","39.338062","-0.614387","codere","#d2f6fc"
"dataira1088","Estrada de Castela, 162, Santa Cecilia (Narón): LA RUTA","43.4988673","-8.1961604","codere","#d2f6fc"
"dataira1089","De la Concordia, 5, Aldaia: La Saleta","39.4633566","-0.4688128","codere","#d2f6fc"
"dataira109","HABANERAS, 72, Torrevieja: ANCLA EL","37.989917","-0.6857270999999999","codere","#d2f6fc"
"dataira1090","MENENDEZ Y PELAIO, 13, Basauri: LA SEDE","43.2360866","-2.8827663","codere","#d2f6fc"
"dataira1091","Calle MADRID, 5, Cullera: LA TABERNA","39.166432","-0.2431265","codere","#d2f6fc"
"dataira1092","Calle DEPORTISTA MANUEL SUAREZ, 1, Alacant: LA TACA","38.3448525","-0.5037868999999999","codere","#d2f6fc"
"dataira1093","Barcelona, 12, Vinaròs: La Taperia Del Barrio","40.476748","0.474156","codere","#d2f6fc"
"dataira1094","Calle NAVARRO VILLOSLADA, 1, Estella: LA TASCA","42.6754037","-2.0359674","codere","#d2f6fc"
"dataira1095","MAESTRO FALLA, 2, Calahorra: LA TASKA CON K","42.304313","-1.9673684","codere","#d2f6fc"
"dataira1096","BLASCO IBAÑEZ, 63, Valencia: LA TASQUETA","39.475077","-0.349739","codere","#d2f6fc"
"dataira1097","Calle ARCADIO PARDIÑAS, 174, Burela: LA TERRACITA","43.6525659","-7.355389299999999","codere","#d2f6fc"
"dataira1098","Carretera JACA, 53, Aoiz: LA TORRE","42.786082","-1.3709657","codere","#d2f6fc"
"dataira1099","Calle DIVISORIA, 4, Alfafar: LA TORTILLERIA","39.4248548","-0.3874546","codere","#d2f6fc"
"dataira11","Calle DO RECREO, 3, Ordes: A BARRICA","43.0756798","-8.408374199999999","codere","#d2f6fc"
"dataira110","Rúa Manuel Fraga Iribarne, 8, Cariño: ANCORA","43.7407849","-7.8690943","codere","#d2f6fc"
"dataira1100","PROF. TIERNO GALVAN, 18: LA TORTUGA","43.3159165","-8.3733302","codere","#d2f6fc"
"dataira1101","Calle ITURRAMA, 60, Pamplona: LA TRACA","42.8070154","-1.6572758","codere","#d2f6fc"
"dataira1102","Calle GASCO OLIAG, 6, Valencia: LA UNIVERSIDAD","39.47784830000001","-0.3573679","codere","#d2f6fc"
"dataira1103","TRINQUETE, 1, Cenicero: LA VERMUTERIA","42.4818606","-2.6421043","codere","#d2f6fc"
"dataira1104","Camino PLA DE MUSEROS, 5, Almassora: LABRADOR","39.9643097","-0.0954501","codere","#d2f6fc"
"dataira1105","REAL, 84, Quiroga: LAGO","42.4763932","-7.2720755","codere","#d2f6fc"
"dataira1106","MARTIN OLAVE, 2, Vitoria-Gasteiz: LAGOS LOS","42.8563512","-2.6730774","codere","#d2f6fc"
"dataira1107","Calle AMILLAGA, 1, Bergara: Laino Skate","43.1226266","-2.4219919","codere","#d2f6fc"
"dataira1108","POLVORIN VIEJO, 6, Polvorin - Vitoria Gasteiz: LAL ALI","42.8438656","-2.6497342","codere","#d2f6fc"
"dataira1109","DIPUTACION, 4, Diputacion-Vitoria: Lal Ali","42.8463928","-2.6740421","codere","#d2f6fc"
"dataira111","Calle CALVO SOTELO, 40, A Estrada: ANDALUCIA","42.6897576","-8.4884911","codere","#d2f6fc"
"dataira1110","NACIONES UNIDAS, 41, Vitoria-Gasteiz: LAL-ALI","42.8484187","-2.7065253","codere","#d2f6fc"
"dataira1111","DOCTOR FERRAN, 2, Xirivella: LALA","39.4643036","-0.4289891","codere","#d2f6fc"
"dataira1112","Calle PINTOR LAXEIRO, 5, Lalín: Lalin","42.65996850000001","-8.111969","codere","#d2f6fc"
"dataira1113","Eduardo Pondal, 8, Ourense: Lameiras","42.323474","-7.863379800000001","codere","#d2f6fc"
"dataira1114","KONPORTE, 17, Getxo: LANDA","43.3458501","-3.0080501","codere","#d2f6fc"
"dataira1115","RONDILLA KALEA, 33, Tolosa: LAPURDI","43.1404973","-2.0729952","codere","#d2f6fc"
"dataira1116","Calle LARRA, 35, Castelló de la Plana: LARRA","39.9782262","-0.0478433","codere","#d2f6fc"
"dataira1117","Avenida AVENIDA DE MONELOS, 215, A Coruña: LAS CADENAS","43.3430012","-8.3973285","codere","#d2f6fc"
"dataira1118","Calle VICENTE BLASCO IBAÑEZ, 14, Sestao: Las Cepas","43.3077039","-3.003893","codere","#d2f6fc"
"dataira1119","Paseo ROSA DE LOS VIENTOS, 38, Grau i Platja: Las Delicias De Concha","39.0004097","-0.165033","codere","#d2f6fc"
"dataira112","POBLA DE VALLBONA, 4: ANDALUZ MESON","39.5927988","-0.5539042","codere","#d2f6fc"
"dataira1120","Calle ZULOKO, 2, Barakaldo: Las Esperanzas","43.2903119","-3.0014772","codere","#d2f6fc"
"dataira1121","Calle SAMUEL ROS, 27, Valencia: LAS GAVIOTAS","39.4617789","-0.3460894","codere","#d2f6fc"
"dataira1122","Paseo ACACIAS, DE LAS, 30, Benidorm: LAS JARRAS","38.54505","-0.1346","codere","#d2f6fc"
"dataira1123","AVENIDA VIVEIRO, 21, Ferrol: LAS MARIAS","43.4897826","-8.223365","codere","#d2f6fc"
"dataira1124","Calle RIO SALADO, 1, Pamplona: LAS MATAS","42.805036","-1.644734","codere","#d2f6fc"
"dataira1125","Calle Campamento, 65, Benimamet: LAS PALMERAS","39.5003914","-0.4251169","codere","#d2f6fc"
"dataira1126","BAILIO, 19, Tudela: LAS PALMERAS","42.051057","-1.604425","codere","#d2f6fc"
"dataira1127","Calle ZARAGOZA, 45, Pamplona: LAS PALMERAS","42.8058845","-1.6441181","codere","#d2f6fc"
"dataira1128","Ronda SAN FRANCISCO JAVIER, 8, Beriáin: LAS PISCINAS","42.7378368","-1.6361903","codere","#d2f6fc"
"dataira1129","RUA DO TORNO, 9, Cervo: Las Titas","43.6956705","-7.4426653","codere","#d2f6fc"
"dataira113","IRUÑALDE, 18, Berriozar: ANDALUZA LA","42.8362904","-1.6757879","codere","#d2f6fc"
"dataira1130","San Alberto Magno, 12, Pamplona: LAS TORRES","42.8140577","-1.6633869","codere","#d2f6fc"
"dataira1131","Avenida GALICIA, 5, As Pontes de García Rodríguez: LAS TORRES","43.4464267","-7.851439200000001","codere","#d2f6fc"
"dataira1132","Carretera VALENCIA, 58, Motilla del Palancar: LAS VEGAS","39.5610804","-1.9060963","codere","#d2f6fc"
"dataira1133","RONDA DE ATOCHA, 12, Madrid: Las Vegas Atocha","40.4068416","-3.696559999999999","codere","#d2f6fc"
"dataira1134","Miguel Cruz Cuenca, Lucena: LAS VEGAS V","37.408584","-4.493436","codere","#d2f6fc"
"dataira1135","VALL D´UIXO, 6, Borriana: LAZARO","39.88509490000001","-0.08672959999999999","codere","#d2f6fc"
"dataira1136","Calle PILAR, 1, Arganda del Rey: LBO ARGANDA DEL REY","40.301109","-3.437692","codere","#d2f6fc"
"dataira1137","de la Constitución, 10: Lbo Astillero","43.3983734","-3.822281","codere","#d2f6fc"
"dataira1138","Avenida AMERICA, 7, Madrid: LBO AVENIDA DE AMERICA","40.43832","-3.67645","codere","#d2f6fc"
"dataira1139","BARDENAS, 3, Leganes: LBO BARDENAS","42.1872313","-1.4821482","codere","#d2f6fc"
"dataira114","ANDATZA PLAZA, 5, Lasarte-Oria: ANDATZA","43.2722112","-2.0168264","codere","#d2f6fc"
"dataira1140","JUAN ANTONIO BALDOVI, 3: Lbo Benidorm","38.5312239","-0.1648978","codere","#d2f6fc"
"dataira1141","Avenida INFANTE DE LUIS, 7, Boadilla del Monte: LBO BOADILLA","40.40684770000001","-3.8956434","codere","#d2f6fc"
"dataira1142","REAL DE SAN SEBASTIAN, 27, Brunete: LBO BRUNETE","40.4020614","-3.996128","codere","#d2f6fc"
"dataira1143","GALICIA, 14, Madrid: LBO CAMPAMENTO","42.5750554","-8.1338558","codere","#d2f6fc"
"dataira1144","CAPITAN BLANCO ARGIBAY, 24, Madrid: LBO CAPITAN BLANCO ARGIBAY","40.4652171","-3.6976931","codere","#d2f6fc"
"dataira1145","CARDENAL D ES PUIG, 3, Palma de Mallorca: LBO CHAPLIN","39.5785083","2.6639849","codere","#d2f6fc"
"dataira1146","Avenida Ajalvir, 2, Alcala De Henares: LBO CHORRILLO","40.4898165","-3.3760695","codere","#d2f6fc"
"dataira1147","Avenida del Consuelo, 6, Ciempozuelos: Lbo Ciempozuelos","40.1583277","-3.6212102","codere","#d2f6fc"
"dataira1148","Calle REAL, 1, Colmenar Viejo: LBO COLMENAR","36.9048387","-4.3367416","codere","#d2f6fc"
"dataira1149","COLON, 6, Logroño: LBO COLON","42.4627195","-2.4449852","codere","#d2f6fc"
"dataira115","Plaza DANIEL R. CASTELAO, 1, O Burgo: ANDRAS","43.3158805","-8.3643761","codere","#d2f6fc"
"dataira1150","CANTEROS DE BUELNA, 1, Los Corrales De Buelna: LBO CORRALES","43.2595245","-4.0692379","codere","#d2f6fc"
"dataira1151","ARMANDO PALACIO VALDES 1, Corvera: LBO CORVERA ASTURIAS","43.5370599","-5.90165","codere","#d2f6fc"
"dataira1152","CRISTO DE LA VICTORIA, 185, Madrid: LBO CRISTO DE LA VICTORIA","40.3790546","-3.7056839","codere","#d2f6fc"
"dataira1153","PRINCIPE FELIPE, 18, Daganzo De Arriba: LBO DAGANZO","40.5439892","-3.4580034","codere","#d2f6fc"
"dataira1154","DOCTOR IRANZO, 43, Zaragoza: LBO DOCTOR IRANZO","41.6457589","-0.8643613","codere","#d2f6fc"
"dataira1155","JUAN GISASOLA KALEA, 20: LBO EIBAR","43.1818305","-2.4720992","codere","#d2f6fc"
"dataira1156","BORREGUET, 18, Elche: LBO ELCHE BORREGUET","38.261497","-0.6959474","codere","#d2f6fc"
"dataira1157","Avenida de la Arboleda, 16, El Escorial: LBO ESCORIAL ","40.58354","-4.130669999999999","codere","#d2f6fc"
"dataira1158","ETRURIA, 3, Madrid: LBO ETRURIA","40.4358742","-3.6121318","codere","#d2f6fc"
"dataira1159","Avenida de España 12: LBO FUENLABRADA","40.2902056","-3.8035477","codere","#d2f6fc"
"dataira116","Calle GASPAR AGUILAR, 27, Valencia: ANDY BAR","39.456818","-0.3902922","codere","#d2f6fc"
"dataira1160","GASPAR GARCIA LAVIANA, 59, Gijón: LBO GIJON GASPAR GARCIA","43.5261048","-5.6677085","codere","#d2f6fc"
"dataira1161","GUADARRAMA, 26, Madrid: LBO GUADARRAMA","40.6731798","-4.0875528","codere","#d2f6fc"
"dataira1162","Marques de Murrieta, 31, Logroño: Lbo Logroño Murrieta","42.4647916","-2.456237","codere","#d2f6fc"
"dataira1163","MENENDEZ PELAYO, 21, Maliaño: LBO MALIAÑO","43.417711","-3.843463799999999","codere","#d2f6fc"
"dataira1164","MARCELO USERA, 3, Madrid: LBO MARCELO USERA","40.3875952","-3.7001696","codere","#d2f6fc"
"dataira1165","SAN MAXIMILIANO, 12: LBO MARQUES DE CORBERA","40.4234608","-3.6554868","codere","#d2f6fc"
"dataira1166","Calle MASQUEFA, 68, Valencia: LBO MASQUEFA","41.501395","1.8141603","codere","#d2f6fc"
"dataira1167","PALLETER 2, Mislata: LBO MISLATA","39.4720854","-0.4127758","codere","#d2f6fc"
"dataira1168","Calle NUEVA YORK, 34, Móstoles: LBO MOSTOLES","40.3151584","-3.8551997","codere","#d2f6fc"
"dataira1169","Mayor, 61: LBO NULES","39.8539503","-0.1553504","codere","#d2f6fc"
"dataira117","ESPERANTO, 10, Benidorm: ANGEL","38.5429804","-0.1189288","codere","#d2f6fc"
"dataira1170","PINTOR AGRASOT, 25, Orihuela: LBO ORIHUELA","38.0863762","-0.9420052999999999","codere","#d2f6fc"
"dataira1171","Plaza DEL CASTILLO, 2, Pamplona: LBO PAMPLONA","42.8163309","-1.6434907","codere","#d2f6fc"
"dataira1172","PEÑA PRIETA, 46, Madrid: LBO PEÑA PRIETA","40.400969","-3.6657237","codere","#d2f6fc"
"dataira1173","FRANCISCO MANUEL DE LOS HERREROS, 7, Palma de Mallorca: LBO PLAZA COLUMNAS","39.5729712","2.6602503","codere","#d2f6fc"
"dataira1174","PASCUAL RIBOT-ESQ ANTONIO Mª ALCOVER, 23, Palma de Mallorca: LBO PLAZA MADRID","39.5779655","2.6399707","codere","#d2f6fc"
"dataira1175","FRANCESC SANCHO, 13, Palma de Mallorca: LBO PLAZA OBELISCO","39.5794637","2.6564183","codere","#d2f6fc"
"dataira1176","General Vives 6, Ponferrada: LBO Ponferrada","42.54663619999999","-6.5917526","codere","#d2f6fc"
"dataira1177","Avenida EUROPA parcela 24. poligono I, 16, Pozuelo de Alarcón: LBO POZUELO","40.4382616","-3.7935352","codere","#d2f6fc"
"dataira1178","Valmojado, 231, Madrid: Lbo Prados","40.3889484","-3.7584679","codere","#d2f6fc"
"dataira1179","Puerto De Porzuna, 3: Lbo Puerto De Porzuna","39.1468093","-4.155215399999999","codere","#d2f6fc"
"dataira118","MIGUEL SERVET, 2, Sestao: ANGEL","43.307916","-2.9993252","codere","#d2f6fc"
"dataira1180","Calle RAFAEL SALGADO, 3, Madrid: LBO RAFAEL SALGADO","40.4544488","-3.6887693","codere","#d2f6fc"
"dataira1181","Micalet 2 - Riba-roja de Túria: LBO RIBARROJA DEL TURIA","39.5454532","-0.5704575","codere","#d2f6fc"
"dataira1182","SAN LAZARO, 2, Oviedo: LBO SAN LAZARO","43.3619145","-5.8493887","codere","#d2f6fc"
"dataira1183","CALLE LAS POZAS, 17: LBO SAN LORENZO DEL ESCORIAL","40.5930226","-4.1474925","codere","#d2f6fc"
"dataira1184","Alameda SAN MAMES, 8, Bilbao: LBO SAN MAMES","43.2577822","-2.9350732","codere","#d2f6fc"
"dataira1185","DOCTOR ALEJANDRO SAN MARTIN, 2, Pamplona: LBO SAN MARTIN","42.8130306","-1.6373698","codere","#d2f6fc"
"dataira1186","Corredera Baja, 20 local 4, San Martín de Valdeiglesias: Lbo San Martin De Valdeiglesias","40.3615428","-4.399744099999999","codere","#d2f6fc"
"dataira1187","SAN MATEO, 34, Alicante: LBO SAN MATEO","38.3459963","-0.4906855","codere","#d2f6fc"
"dataira1188","Avenida COLMENAR VIEJO, 1, San Sebastián de los Reyes: LBO SAN SEBASTIAN DE LOS REYES","40.5450935","-3.6285043","codere","#d2f6fc"
"dataira1189","DE SARRIA, 52, Madrid: LBO SARRIA","42.7600365","-7.4165053","codere","#d2f6fc"
"dataira119","ALCORA, S/N, Castelló de la Plana: ANGELES VENTA LOS","40.0163954","-0.1291859","codere","#d2f6fc"
