company,name,address,lat,lng,postal_code,locality,adm4,adm1,country
codere,SALON JOKER VI VALENCIA,"PRIMADO REIG, 185, Valencia",39.479375,-0.3565403,46020,Valencia,Valencia,Valencian Community,Spain
codere,SALON JOKER VIII,"REINA SOFIA, 12, MERIDA",38.91503549999999,-6.3327922,06800,Mérida,Mérida,Extremadura,Spain
codere,SALON JUEGO AZAR CASINOS CONDE DE CASAL,"CalleDOCTOR ESQUERDO, 130, Madrid",40.4068944,-3.6703517,28007,Madrid,Madrid,Community of Madrid,Spain
codere,SALON JUEGO BAGAR,"Calle ANDALUCIA, 3, Mejorada del Campo",40.4608046,-3.4603666,28850,Torrejón de Ardoz,Torrejón de Ardoz,Community of Madrid,Spain
codere,SALON JUEGOS BAGAR,"DE COVIVAR, 8, Rivas Vaciamadrid",40.36523589999999,-3.5501961,28523,Rivas-Vaciamadrid,Rivas-Vaciamadrid,Community of Madrid,Spain
codere,SALON JUEGOS MERKUR,"NORIA, 2, Villanueva De La Cañada",40.44825,-4.00186,28691,Villanueva de la Cañada,Villanueva de la Cañada,Community of Madrid,Spain
codere,SALON LA HERMIDA,"MARQUES DE LA HERMIDA, 34, Santander",43.4543215,-3.817916699999999,39009,Santander,Santander,Cantabria,Spain
codere,SALON LA RULETA,"Carretera DE TORRELAGUNA, 11, Azuqueca de Henares",40.5673895,-3.2659901,19200,Azuqueca de Henares,Azuqueca de Henares,Castile-La Mancha,Spain
codere,SALON LABORDE,"PEDRO LABORDE, 28, Madrid",40.38865130000001,-3.6478892,28018,Madrid,Madrid,Community of Madrid,Spain
codere,SALON LADY LUCK,"ELIONOR SERVERA, 15, Cala Ratjada",39.7094376,3.4579867,07590,Cala Ratjada,Capdepera,Balearic Islands,Spain
codere,SALON LAKS RIVER,"CONCEPCION, 22, Fuente Palmera",37.7038292,-5.101704,14120,Fuente Palmera,Fuente Palmera,Andalusia,Spain
codere,SALON LANZAROTE,"LEON Y CASTILLO, 31, Arrecife",28.9651808,-13.5484362,35500,Arrecife,Arrecife,Canary Islands,Spain
codere,SALON LAS PALMERAS,"TEOBALDO POWER, 3, Vecind",28.1123742,-15.4358224,35011,Las Palmas de Gran Canaria,Las Palmas,Canary Islands,Spain
codere,SALON LOPE DE FIGUEROA,"SIGÜENZA, 2, Alcala De Henares",40.488641,-3.347766,28804,Alcala de Henares,Alcalá de Henares,Community of Madrid,Spain
