"id","name","longitude","latitude","class","color"
"ense77","CEIP La Alhóndiga","-3.7381769","40.3066191","ense","#ffa258"
"ense78","CEIP Ortiz Echague","-3.7237682","40.3125995","ense","#ffa258"
"ense79","CEIP Santa Margarita María Alacoque","-3.7220334","40.3181449","ense","#ffa258"
"ense80","CEIP Sagrado Corazón","-3.7325298","40.3059742","ense","#ffa258"
"ense81","IES Matemático Puig Adam","-3.73552","40.29943","ense","#ffa258"
"ense82","CEIP Seseña y Benavente","-3.7378879","40.3268439","ense","#ffa258"
"ense83","IES Alarnes","-3.7346565","40.3004848","ense","#ffa258"
"ense84","CEIP San José de Calasanz","-3.7305574","40.3107043","ense","#ffa258"
"ense85","CEIP Ciudad de Madrid","-3.7208589","40.3170042","ense","#ffa258"
"ense86","CEIP Garcilaso de la Vega","-3.8527663","40.2144965","ense","#ffa258"
"ense87","CEIP Alejandro Rubio","-3.6952462","40.781538","ense","#ffa258"
"ense88","CEIP Villa de Guadarrama","-4.0892758","40.6656051","ense","#ffa258"
"ense89","CEIP Virgen de la Encina","-3.9005035","40.6239537","ense","#ffa258"
"ense90","CEIP Hermanos Torá","-3.8303477","40.2493744","ense","#ffa258"
"ense91","CEIP Calderón de la Barca","-3.7670965","40.3353453","ense","#ffa258"
"ense92","CEIP Lepanto","-3.7695661","40.3359152","ense","#ffa258"
"ense93","CEIP Marqués de Leganés","-3.7684437","40.3248833","ense","#ffa258"
"ense94","CEIP Gonzalo de Berceo","-3.7792867","40.3604426","ense","#ffa258"
"ense95","CEIP Victor Pradera","-3.75436","40.33943","ense","#ffa258"
"ense96","CEIP Miguel de Cervantes","-3.7774232","40.3314898","ense","#ffa258"
"ense97","CEIP Ortega y Gasset","-3.7524197","40.3297481","ense","#ffa258"
"ense98","CEIP Aben Hazam","-3.751140299999999","40.3321407","ense","#ffa258"
"ense99","IES José de Churriguera","-3.7622716","40.3232326","ense","#ffa258"
"ense100","IES Luis Víves","-3.7655236","40.3398204","ense","#ffa258"
