CD_CENTRO,ETIQUETA,DIRECCION,CMUNI,MUNICIPIO,UTM_Y,UTM_X
28071917,EEI La Verbena de la Paloma,"Calle Fuerte de Navidad, 17",079,Madrid,4470258,434962
28071929,EEI La del Soto del Parral,"Calle Trompas, 19",079,Madrid,4469325,434791
28071930,EEI La Patria Chica,"Calle Patrimonio de La Humanidad, 31",079,Madrid,4468173,435212
28071942,EEI Fernando el Católico,"Calle Fernando el Católico, 16-B",079,Madrid,4476186,439804
28071954,EEI La Corte del Faraón,"Calle Chantada, 41-A",079,Madrid,4480496,439368
28071966,EEI La Rosa del Azafrán,"Calle Cueva de Montesinos, 2",079,Madrid,4483546,441665
28071978,EEI Gigantes y Cabezudos,"Calle Rafael Bergamín, 28",079,Madrid,4477951,444058
28071981,EEI Molinos de Viento,"Cmno de la Fuente de Arriba, 2",079,Madrid,4472705,448256
28072004,EEI Ana de Austria,"Calle Ana de Austria, 32 c/v Calle Isabel Clara Eugenia",079,Madrid,4482957,444445
28072016,EEI  La Gran Vía,"Calle Silvano, 99",079,Madrid,4479331,446226
28072028,EEI Doña Francisquita,"Calle Cambados, 1",079,Madrid,4481106,446568
28072031,EEI  La Alegría de la Huerta,"Calle Helsinki, 2",079,Madrid,4475046,448895
28072041,EEI  La del Manojo de Rosas,"Calle Ravena, 12",079,Madrid,4474341,447739
28072053,EEI Las Leandras,Ctra. Acceso Estación de O'Donnell c/v C/ Deyanira,079,Madrid,4477142,449660
28072065,EEI El Barberillo de Lavapiés,"Calle Granito, 32 c/v Calle Plomo, 16",079,Madrid,4471678,441428
28072077,EEI La Mimosa,"Calle Tía Javiera, 4",058,Fuenlabrada,4461877,428481
28072107,IES La Senda,"Senda de Mafalda, 2",065,Getafe,4460738,436461
28072223,IES Pedro Duque,"Calle Beatriz Galindo, 1-3",074,Leganés,4464302,435993
28072284,EEI Las Golondrinas,"Calle Cuesta de Cazadores, 2",066,Griñón,4451568,428142
28072302,EEI Victoria Kamhi,"Avda Memorial de la Paz de Hiroshima, 3",013,Aranjuez,4435294,449033
28072326,EEI Santiago Apóstol,"Calle Santiago Apóstol, 1",104,Paracuellos de Jarama,4483443,456882
28072338,EEI Don Pimpón,"Calle Murillo, 1",061,Galapagar,4494365,416676
28072341,EEI Fuentelucha,"Avda Ilusión, s/n c/v Calle Imaginación",006,Alcobendas,4489511,443987
28072363,EEI Las Cigüeñas,"Calle Lima, 39",058,Fuenlabrada,4460351,432878
28072375,EEI Erase Una Vez,"Calle Madrid, 55",089,Moraleja de Enmedio,4457712,427430
