"id_local","clase_vial_acceso","desc_vial_acceso","num_acceso","rotulo","desc_seccion","desc_division","lng","lat","label"
90,"CALLE","BRAVO MURILLO",125,"SALON DE JUEGOS CASINO PARK CAFETERIA SPORTIUM","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7037912","40.4492923",
91,"AVENIDA","REINA VICTORIA",4,"SALON DE JUEGOS","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.704846","40.4472098",
92,"CALLE","FRANCOS RODRIGUEZ",15,"ADMIRAL","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7048374","40.4561908",
93,"CALLE","BRAVO MURILLO",137,"SALON DE JUEGO TREBOL","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7036582","40.450329",
94,"CALLE","TOPETE",31,"LAS VEGAS JUEGOS Y APUESTAS","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7045664","40.4508922",
95,"CALLE","BRAVO MURILLO",155,"SALON DE JUEGOS NEVADA","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.703477899999999","40.4517376",
96,"CALLE","VILLAAMIL",76,"LA CAIXA","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7080493","40.4615996",
97,"CALLE","LOPE DE HARO",15,"SPORTIUM","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7035418","40.4568251",
98,"CALLE","MARQUES DE VIANA",29,"O'CEANS GAME","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7007994","40.4617187",
99,"CALLE","FRANCOS RODRIGUEZ",30,"SALON DE JUEGOS","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7044569","40.4560444",
100,"CALLE","GENERAL MARGALLO",4,"MACEDONIA'S","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.6975687","40.4609291",
101,"CALLE","INFANTA MERCEDES",73,"OBRAS: EXTERIORES Y DE ACONDICIONAMIENTO PUNTUAL","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.6962013","40.4611515",
102,"CALLE","PENSAMIENTO",2,"TREBOL","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.6990075","40.4596135",
103,"CALLE","BRAVO MURILLO",294,"FOLGADO MUEBLES DECORACION","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.697447699999999","40.4619702",
104,"CALLE","BRAVO MURILLO",306,"EL DORADO","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.6965183","40.4631277",
105,"PASEO","CASTELLANA",91,"ORENES SPORT BAR Y CASINO","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.6915988","40.4505292",
106,"CALLE","ORENSE",23,"SALON DE JUEGOS","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.6954085","40.45100559999999",
107,"AVENIDA","GENERAL PERON",36,"LUCKIA SPORT CAFE","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.6935061","40.4520198",
108,"PASEO","CASTELLANA",93,"BINGO CANOE","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.6916222","40.4507943",
109,"CALLE","BRAVO MURILLO",208,"EMOTIVA","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7015766","40.457015",
110,"CALLE","BRAVO MURILLO",174,"SOLOPTICAL","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.702771","40.453866",
111,"CALLE","CAPITAN BLANCO ARGIBAY",101,"SPORTIUM","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7037093","40.4668174",
